Date,ASTRAL.BO,AXISBANK.BO,BAJFINANCE.BO,BEL.BO,BLUEDART.BO,CROMPTON.BO,DIVISLAB.BO,ESCORTS.BO,GAIL.BO,GLENMARK.NS,HDFC.BO,HDFCBANK.BO,ICICIBANK.BO,INFY.BO,KOTAKBANK.BO,LTTS.BO,PAGEIND.BO,RELIANCE.BO,SBIN.BO,TCS.BO,^BSESN
07-03-2018,676.7600098,512.7999878,1620.25,148.6999969,4236.299805,235.4499969,991.0499878,837.5999756,165.2250366,559.2999878,1761.849976,917.2249756,286.7000122,571.4000244,1085.349976,1297.599976,20736.30078,891.5499878,246.6499939,1514.625,33033.08984
08-03-2018,676.3599854,520.1500244,1624.650024,147.5,4249.700195,239.75,1001.200012,855,163.7062836,552.9500122,1797.5,925.7249756,296.9500122,578.3499756,1081.099976,1286.699951,20656.44922,911.5999756,256.75,1500.75,33351.57031
09-03-2018,690.2000122,505.3500061,1651.849976,148.4499969,4227.100098,240.0500031,996.4500122,850.3499756,164.0625458,533.1500244,1818.449951,926.5999756,292.7000122,581.7000122,1084.949951,1262.300049,21451.15039,912.0499878,253.1499939,1517.25,33307.14063
12-03-2018,692.4799805,519.2000122,1667,150.3999939,4167.5,233.8000031,1010.700012,856.1500244,167.4000397,536.6500244,1854.949951,933.3499756,300.7000122,592.9249878,1100.599976,1291.800049,21584.90039,929.3499756,252.8500061,1525.925049,33917.94141
13-03-2018,695.2000122,530.7999878,1678.400024,151.3999939,4184.25,228.0500031,1035.449951,854.2000122,170.9437866,538.1500244,1863.25,929.9500122,304,590.2750244,1084.550049,1289.349976,21882.25,930.5999756,254.8999939,1446.224976,33856.78125
14-03-2018,701.4000244,535.5499878,1707.150024,151.4499969,4166,226.1000061,1053.75,844.6500244,171.6375427,552.2999878,1846.300049,932.6749878,306.3500061,590.0999756,1083.400024,1258.550049,21428.05078,928.5999756,257,1443.050049,33835.73828
15-03-2018,694.7199707,528.9500122,1725.800049,151.6499939,4144.850098,222.8000031,1086.099976,847,168.9000397,553.7999878,1830.099976,940.0499878,301.4500122,591.0750122,1087.599976,1233.300049,21173.75,912.25,254.1000061,1434.574951,33685.53906
16-03-2018,684.8400269,523.4500122,1690.150024,149.3500061,4058.5,226.8999939,1087.150024,830.5999756,165.3187866,546.2000122,1790.800049,928.75,298.1000061,586.25,1061,1212.550049,20534.59961,900.5,252.6000061,1412.75,33176
19-03-2018,673.8800049,520.25,1637.650024,148.4499969,4052.300049,219.8000031,1087.400024,825.3499756,165.8250427,543.8499756,1775.449951,924.8250122,295,573.5750122,1051.349976,1167.349976,20271.25,895.2999878,248.1000061,1414.425049,32923.12109
20-03-2018,674.5999756,520.9000244,1654.949951,149.5,3988.5,223.25,1092.199951,826.3499756,164.1562958,546.4000244,1800,919.5999756,291.75,581.0499878,1045.599976,1156.400024,20814.75,889.5499878,249.25,1429.574951,32996.76172
