Date,AXISBANK.BO,BEL.BO,FINCABLES.BO,HDFC.BO,HDFCBANK.BO,RELIANCE.BO,SBILIFE.BO,SKFINDIA.BO,SPICEJET.BO,TCS.BO,BSE Index
16-05-2018,549.3499756,121.6999969,680.9500122,1914.849976,1012.224976,956.4500122,666.9500122,1766.5,112.5500031,1747.775024,35452.35
17-05-2018,539.5,125.3499985,685.4000244,1875.050049,1013.700012,945.1500244,671.6500244,1769.349976,108.0999985,1746.349976,35483.62
18-05-2018,532.7000122,121.6500015,683.1500244,1857.25,1006.450012,933.4000244,668.5,1748.5,104.0500031,1751.175049,35143.59
21-05-2018,528.7000122,117.6500015,668.7999878,1820.150024,995.9500122,931.9500122,656.9500122,1707.050049,96.5,1778.974976,34873.16
22-05-2018,523.2999878,117.1500015,667.4000244,1809.849976,995.5750122,926.9000244,659.2999878,1793.650024,97.65000153,1754.025024,34601.49
23-05-2018,520.3499756,116.75,667,1783.900024,983.4749756,912.25,674,1796.550049,102.75,1748.525024,34656.63
24-05-2018,534.4500122,116.0500031,677.6500244,1806.050049,992.9500122,916.0499878,676.25,1793.900024,97.05000305,1802.400024,34404.14
25-05-2018,538.4500122,118.5500031,682.9500122,1820,1005.825012,921.75,680.7999878,1774.050049,102.0500031,1794.724976,34753.47
28-05-2018,546.4500122,123.5,685.8499756,1830.349976,1021.150024,921,685.0499878,1759.949951,122.4499969,1751.900024,35074.32
29-05-2018,545.9000244,122.9000015,677.8499756,1810.150024,1016.375,917,693.5999756,1758.050049,122.1500015,1761.349976,35213.14
30-05-2018,539.9000244,119.0500031,674.0999756,1792.900024,1023.424988,917.3499756,693.7999878,1773.800049,125,1758.875,34876.13
31-05-2018,543.2999878,114.1500015,683.4500122,1828.5,1068.074951,921.2999878,690.4000244,1783.300049,119.25,1744.800049,35083.81
01-06-2018,537.1500244,111.4000015,680.0999756,1843.349976,1054.775024,929.2000122,674.0999756,1800.650024,111.1999969,1732.25,35373.98
04-06-2018,536.0499878,111.9499969,671,1832.699951,1023.275024,939.3499756,660.75,1790.150024,119.5,1744.550049,35503.24
05-06-2018,529.7999878,112.8499985,677.4000244,1847.050049,1030.275024,947.8499756,663.5,1755.650024,112.6999969,1721.199951,35029.45
06-06-2018,530.2000122,116.1500015,675,1854.650024,1029.574951,953.4000244,678.3499756,1773.75,112.9499969,1727.25,34932.49
07-06-2018,542.1500244,121.5500031,673.5499878,1866.800049,1032.425049,971.4000244,687.2999878,1765.650024,114.4499969,1734.599976,35278.38
08-06-2018,536.4500122,118.5999985,674.5,1840.199951,1025.050049,983.4000244,691.4000244,1770,111.6999969,1748.199951,35406.47
11-06-2018,540.0999756,118.8000031,675.25,1839.449951,1022.575012,982.4500122,709.4500122,1770.699951,111.9000015,1750.599976,35472.59
12-06-2018,536.7999878,121.3000031,672.25,1847.800049,1022.375,995.4000244,717.5999756,1794.75,110.3499985,1781,35525.3
13-06-2018,539.75,119.3000031,674.6500244,1830.300049,1017.625,1002.099976,701,1792.949951,111.9499969,1824.199951,35835.44
14-06-2018,531.75,116.0500031,668,1833.349976,1018.575012,1007.5,689.5999756,1775.550049,111.6999969,1792.25,35743.1
15-06-2018,528,117,672.6500244,1831.75,1015.349976,1013.849976,672.3499756,1783.400024,111.3499985,1841.449951,35656.26
18-06-2018,522.0499878,114.5,653.1500244,1824.75,1010.674988,1015,671.25,1776.949951,114.0999985,1830.699951,35698.43
19-06-2018,516.75,113.1999969,648.3499756,1826.699951,1012.700012,995.6500244,671.9500122,1762.75,111.0500031,1825.849976,35552.47
20-06-2018,519.1500244,111.6500015,643.5999756,1846.550049,1027.849976,1019.950012,675.9500122,1770.550049,111.1500015,1826.300049,35329.61
21-06-2018,513.25,109.4499969,625.4500122,1855.25,1028.349976,1032.349976,674.5,1757.800049,114.5500031,1819.849976,35644.05
22-06-2018,524.6500244,110,605.75,1902.400024,1040.900024,1012.299988,684.6500244,1734.900024,113.9000015,1811.800049,35428.42
25-06-2018,515.1500244,109.5500031,592.8499756,1893.650024,1046.974976,1003.549988,688.4000244,1745.550049,115.5999985,1820.449951,35783.75
26-06-2018,514.0499878,105.8499985,588.5499878,1913.400024,1046.525024,978.7000122,682.7999878,1745.25,113.5500031,1852.699951,35355.72
27-06-2018,507.6000061,104.4499969,580.5999756,1907,1055.824951,965.2999878,676.8499756,1730.199951,109.4000015,1859.800049,35543.89
28-06-2018,504.9500122,104.0500031,560.5999756,1879.050049,1066.449951,944.7000122,666.6500244,1731.699951,106.1500015,1847.300049,35207.19
29-06-2018,510.3999939,108.6999969,582.3499756,1907.349976,1054.025024,972.9500122,671.75,1718.849976,109.0999985,1847.199951,35128.16
02-07-2018,512.5999756,105.5999985,576.8499756,1894.099976,1036.599976,961.0499878,667.9000244,1736.300049,107.6500015,1855.599976,35545.22
03-07-2018,512,107.25,565.6500244,1883.449951,1035.224976,971.5999756,669.9000244,1719.949951,109.9000015,1875.900024,35344.21
